"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/vhhuQ""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""6k1/q5pp/8/1Q1p4/2p1pP2/2P3P1/P6P/5K2 b - - 2 34""]
[SetUp ""1""]

34... Qxa2 35. Qe8# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/RK1C5""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""8/p4p2/1p3kp1/2p4p/3q1P2/1P3KP1/P3Q2P/8 b - - 1 29""]
[SetUp ""1""]

29... Qd7 30. Qe5# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/92DR4""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""8/4k1p1/2P2p1p/1Q5P/4PKP1/8/3q4/8 w - - 5 60""]
[SetUp ""1""]

60. Kf5 Qg5# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/U4om4""]
[Themes ""endgame master masterVsMaster mate mateIn1 oneMove queenEndgame""]
[FEN ""8/6k1/3q4/8/4p3/4P3/3K1P2/4Q3 w - - 23 67""]
[SetUp ""1""]

67. Ke2 Qd3# *",endgame master masterVsMaster mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/21qb6""]
[Themes ""crushing endgame queenEndgame short skewer""]
[FEN ""8/5p1p/8/p2p4/2k2Q2/7P/q5P1/7K b - - 19 56""]
[SetUp ""1""]

56... d4 57. Qxf7+ Kc3 58. Qxa2 *",crushing endgame queenEndgame short skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/oySfl""]
[Themes ""endgame master mate mateIn1 oneMove queenEndgame""]
[FEN ""8/3Q2p1/1p4kp/3p4/P2P2P1/2q5/4K3/8 b - - 5 45""]
[SetUp ""1""]

45... Qxd4 46. Qf5# *",endgame master mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/hmqqg""]
[Themes ""endgame mate mateIn2 queenEndgame short""]
[FEN ""8/5p1k/6p1/P7/1P1Q4/6PK/8/5q2 w - - 7 57""]
[SetUp ""1""]

57. Kg4 Qf5+ 58. Kh4 Qh5# *",endgame mate mateIn2 queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/pm3zH""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""1Q6/5p2/6pk/8/4q2P/6K1/p4P2/8 b - - 5 50""]
[SetUp ""1""]

50... Qf5 51. Qh8# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/cfMWo""]
[Themes ""crushing endgame long queenEndgame""]
[FEN ""5k2/7Q/6p1/8/8/5P1P/p5PK/q7 w - - 0 50""]
[SetUp ""1""]

50. Qxg6 Qe5+ 51. f4 Qxf4+ 52. Qg3 Qxg3+ *",crushing endgame long queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/qzGW1""]
[Themes ""crushing endgame fork queenEndgame short""]
[FEN ""8/8/p4Qpp/2p1p3/1p4kP/1P6/P4PK1/4q3 b - - 2 47""]
[SetUp ""1""]

47... Qe4+ 48. f3+ Qxf3+ 49. Qxf3+ *",crushing endgame fork queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/YQCXl""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""4Q3/6pp/2p2p2/3p1k2/p2P2P1/4P2P/7K/q7 b - - 0 40""]
[SetUp ""1""]

40... Kg5 41. Qh5# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/uEQEo""]
[Themes ""crushing discoveredAttack endgame exposedKing long queenEndgame""]
[FEN ""8/5p1k/3P1Q2/6pq/8/P5K1/5PP1/8 w - - 0 54""]
[SetUp ""1""]

54. d7 Qh4+ 55. Kf3 g4+ 56. Kf4 Qxf6+ *",crushing discoveredAttack endgame exposedKing long queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/Eus2Q""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""4k3/Q4ppp/3P4/8/4P3/2q3P1/1p3PKP/8 b - - 4 38""]
[SetUp ""1""]

38... b1=Q 39. Qe7# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/cIyN3""]
[Themes ""crushing endgame queenEndgame short skewer""]
[FEN ""8/1Q3K1k/P5p1/4q3/7P/6P1/8/8 w - - 1 111""]
[SetUp ""1""]

111. a7 Qg7+ 112. Ke6 Qxb7 *",crushing endgame queenEndgame short skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/gzDKA""]
[Themes ""clearance crushing endgame long queenEndgame""]
[FEN ""8/5p1k/5q1p/1p2p3/pP1pPp1P/P2P2P1/3Q1P2/6K1 w - - 1 35""]
[SetUp ""1""]

35. Qc1 fxg3 36. fxg3 Qf3 37. Qf1 Qxg3+ *",clearance crushing endgame long queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/fAgHH""]
[Themes ""crushing deflection endgame queenEndgame short skewer""]
[FEN ""6Q1/8/2p1kp1p/3p4/5qPp/5P1K/8/8 b - - 5 46""]
[SetUp ""1""]

46... Ke5 47. Qb8+ Kd4 48. Qxf4+ *",crushing deflection endgame queenEndgame short skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/GyCeJ""]
[Themes ""advancedPawn endgame exposedKing long mate mateIn3 promotion queenEndgame""]
[FEN ""8/4P3/p1p5/1p6/1P1P4/P5p1/5k1p/7K w - - 2 63""]
[SetUp ""1""]

63. e8=Q g2+ 64. Kxh2 g1=Q+ 65. Kh3 Qg3# *",advancedPawn endgame exposedKing long mate mateIn3 promotion queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/Fg709""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""2K5/qP6/2k5/8/8/8/8/8 w - - 23 77""]
[SetUp ""1""]

77. b8=Q Qd7# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/OdhG4""]
[Themes ""deflection endgame mate mateIn2 queenEndgame short""]
[FEN ""8/p2Q2kp/1p4p1/8/5KP1/P3P2P/1q6/2q5 b - - 1 35""]
[SetUp ""1""]

35... Kh6 36. g5+ Kh5 37. Qxh7# *",deflection endgame mate mateIn2 queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/2cvip""]
[Themes ""crushing endgame queenEndgame short""]
[FEN ""8/Q4pk1/8/2pq4/8/P1P5/2K5/8 b - - 6 43""]
[SetUp ""1""]

43... c4 44. Qd4+ Qxd4 45. cxd4 *",crushing endgame queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/FgWQ7""]
[Themes ""crushing endgame queenEndgame short skewer""]
[FEN ""5Q2/8/2K4p/8/7P/8/6k1/5q2 w - - 4 58""]
[SetUp ""1""]

58. Qxh6 Qa6+ 59. Kc5 Qxh6 *",crushing endgame queenEndgame short skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/kxtaO""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""8/5q2/p7/kpQ3P1/6K1/2P5/8/8 b - - 4 41""]
[SetUp ""1""]

41... Ka4 42. Qb4# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/YCQUA""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""8/8/8/8/8/5K2/6pQ/5k2 b - - 23 79""]
[SetUp ""1""]

79... g1=Q 80. Qe2# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/xJfLz""]
[Themes ""crushing deflection endgame long queenEndgame""]
[FEN ""6k1/p4p2/1p4PQ/8/5PK1/6P1/PP6/3q4 w - - 3 48""]
[SetUp ""1""]

48. Kh4 Qh1+ 49. Kg5 f6+ 50. Kf5 Qxh6 *",crushing deflection endgame long queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/J8FWN""]
[Themes ""endgame master mate mateIn1 oneMove queenEndgame""]
[FEN ""2Q5/k1K5/7p/3q2p1/6P1/5P2/8/8 b - - 9 48""]
[SetUp ""1""]

48... Qd4 49. Qb7# *",endgame master mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/adnXL""]
[Themes ""endgame mate mateIn2 queenEndgame short""]
[FEN ""7k/pp2P1p1/2p3Qp/2Pp4/1P1P2P1/P3pq2/7P/7K w - - 3 33""]
[SetUp ""1""]

33. Kg1 Qf2+ 34. Kh1 Qf1# *",endgame mate mateIn2 queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/zDVG3""]
[Themes ""crushing endgame queenEndgame short""]
[FEN ""8/1k6/1p6/7P/p4q2/3Q3K/5PP1/8 w - - 10 53""]
[SetUp ""1""]

53. Qf3+ Qxf3+ 54. gxf3 a3 *",crushing endgame queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/XK20Q""]
[Themes ""endgame mate mateIn2 queenEndgame short""]
[FEN ""8/pp5p/8/4Qp2/5P2/6K1/PPq4P/5k2 w - - 27 51""]
[SetUp ""1""]

51. Qe3 Qg2+ 52. Kh4 Qg4# *",endgame mate mateIn2 queenEndgame short
