"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/YlCqj""]
[Themes ""endgame hangingPiece kingsideAttack mate mateIn2 short""]
[FEN ""4r1k1/1p1q2p1/p1p4p/2Pr2PQ/5p1P/4pP2/1P6/R4RK1 b - - 0 31""]
[SetUp ""1""]

31... Qh3 32. Qxe8+ Kh7 33. g6# *",endgame hangingPiece kingsideAttack mate mateIn2 short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/iG199""]
[Themes ""attraction long mate mateIn3 middlegame""]
[FEN ""R1b2rk1/6pp/2P1B3/5p2/4n1NQ/2P2qP1/1P3P1P/6K1 b - - 0 32""]
[SetUp ""1""]

32... Bxe6 33. Rxf8+ Kxf8 34. Qd8+ Kf7 35. Ne5# *",attraction long mate mateIn3 middlegame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/9jmhI""]
[Themes ""attraction kingsideAttack mate mateIn2 middlegame sacrifice short""]
[FEN ""r1b3k1/pp3ppp/nbpp1q2/7r/4P3/1NN2P2/PPP1B1PP/R2Q1R1K w - - 0 14""]
[SetUp ""1""]

14. f4 Rxh2+ 15. Kxh2 Qh4# *",attraction kingsideAttack mate mateIn2 middlegame sacrifice short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/AzkOu""]
[Themes ""long mate mateIn3 middlegame sacrifice""]
[FEN ""3r2k1/6p1/p3p2p/1p2n2Q/4B1R1/2q5/3r2PP/5RK1 b - - 5 27""]
[SetUp ""1""]

27... Nxg4 28. Qf7+ Kh8 29. Qf8+ Rxf8 30. Rxf8# *",long mate mateIn3 middlegame sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/QkFRp""]
[Themes ""endgame mate mateIn2 short""]
[FEN ""6k1/1p2b1p1/2nqP3/p2p1QBN/1P1P2P1/P7/8/7K b - - 0 39""]
[SetUp ""1""]

39... Bxg5 40. Qf7+ Kh8 41. Qxg7# *",endgame mate mateIn2 short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/dW6h7""]
[Themes ""endgame mate mateIn2 short""]
[FEN ""r4k1r/pp1R4/5p2/4p3/2PR2Q1/5KPq/P1P2P2/8 b - - 0 34""]
[SetUp ""1""]

34... exd4 35. Qg7+ Ke8 36. Qe7# *",endgame mate mateIn2 short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/y0TWR""]
[Themes ""fork mate mateIn2 middlegame short""]
[FEN ""2Nr2k1/3b1ppp/p2B4/3p4/QP1q2n1/P1R5/5PPP/4R1K1 w - - 2 25""]
[SetUp ""1""]

25. Qxd7 Qxf2+ 26. Kh1 Qxe1# *",fork mate mateIn2 middlegame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/W8M7J""]
[Themes ""mate mateIn1 middlegame oneMove""]
[FEN ""1r3r2/2p1ppk1/6N1/3p2Q1/3P4/1p6/q1P5/1K4RR w - - 0 29""]
[SetUp ""1""]

29. Kc1 Qxc2# *",mate mateIn1 middlegame oneMove
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/LPETs""]
[Themes ""endgame mate mateIn2 short""]
[FEN ""2r2r2/p3Nppk/3p4/3P4/5R2/2P3Pp/P5bP/5RK1 b - - 4 31""]
[SetUp ""1""]

31... Kh6 32. Rh4+ Kg5 33. Rf5# *",endgame mate mateIn2 short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/qeP68""]
[Themes ""backRankMate exposedKing mate mateIn4 middlegame sacrifice veryLong""]
[FEN ""r1b2kr1/ppppn1p1/5P1p/3P3P/4P1q1/2Q5/PB4P1/nN3RK1 b - - 0 20""]
[SetUp ""1""]

20... gxf6 21. Qxf6+ Ke8 22. Qf7+ Kd8 23. Qf8+ Rxf8 24. Rxf8# *",backRankMate exposedKing mate mateIn4 middlegame sacrifice veryLong
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/bPBeX""]
[Themes ""endgame mate mateIn1 oneMove""]
[FEN ""6k1/1Bp2pp1/p2b3p/5P2/6Qq/5P2/PP5P/3Rr2K w - - 3 34""]
[SetUp ""1""]

34. Rxe1 Qxh2# *",endgame mate mateIn1 oneMove
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/nB4XV""]
[Themes ""mate mateIn2 middlegame short""]
[FEN ""r1bk4/1p3Q2/p2p4/4p1q1/2BNP1p1/4b1P1/PP4Pr/R2R3K w - - 0 25""]
[SetUp ""1""]

25. Kxh2 Qh6+ 26. Qh5 Qxh5# *",mate mateIn2 middlegame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/8WmDw""]
[Themes ""mate mateIn2 middlegame short""]
[FEN ""2k3r1/pbp5/1p1pR3/5p1n/3P1P2/2NB3P/PPP4K/5R2 w - - 3 25""]
[SetUp ""1""]

25. Bxf5 Rg2+ 26. Kh1 Ng3# *",mate mateIn2 middlegame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/5HyxZ""]
[Themes ""endgame mate mateIn1 oneMove""]
[FEN ""3Q4/3b1p1k/4p3/2N1Pnpp/8/5P1K/5P1P/2q5 w - - 2 40""]
[SetUp ""1""]

40. Nxd7 Qf1# *",endgame mate mateIn1 oneMove
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/2zVZ3""]
[Themes ""endgame mate mateIn2 short""]
[FEN ""6k1/6r1/7R/1pb2B2/8/5Q2/6P1/4q2K w - - 1 47""]
[SetUp ""1""]

47. Kh2 Qg1+ 48. Kh3 Qh1# *",endgame mate mateIn2 short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/QTYFV""]
[Themes ""fork mate mateIn2 middlegame short""]
[FEN ""r4rk1/5pp1/p2N3p/1p6/n3PPP1/q1P5/P1PQ2BP/1K1R3R w - - 5 20""]
[SetUp ""1""]

20. Qc1 Nxc3+ 21. Ka1 Qxa2# *",fork mate mateIn2 middlegame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/IkhZA""]
[Themes ""mate mateIn2 middlegame short""]
[FEN ""5rk1/1pp3p1/7p/2P2q2/3p4/3P2Pb/6rP/R2QR1KB w - - 4 27""]
[SetUp ""1""]

27. Bxg2 Qf2+ 28. Kh1 Bxg2# *",mate mateIn2 middlegame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/qYSPY""]
[Themes ""endgame mate mateIn2 short""]
[FEN ""6k1/6p1/Q2p1p1p/2p5/P1P5/1P2r3/4qPPP/R3b1K1 w - - 0 28""]
[SetUp ""1""]

28. fxe3 Qf2+ 29. Kh1 Qf1# *",endgame mate mateIn2 short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/jSGm1""]
[Themes ""kingsideAttack mate mateIn2 middlegame short""]
[FEN ""r2q1k1r/p1p2ppp/3b4/4p3/4Qn2/2P2P2/PP1P1P1P/RNB2RK1 w - - 3 13""]
[SetUp ""1""]

13. d4 Qg5+ 14. Kh1 Qg2# *",kingsideAttack mate mateIn2 middlegame short
